127.0.0.1, 2015-01-04 21:35:11, GET, /fudanbq/default/download/poster.filename.959d18d9f7fdf4a6.616161616161616161612e6a7067.jpg, HTTP/1.1, 200, 0.149000
127.0.0.1, 2015-01-04 21:35:12, GET, /fudanbq/default/download/poster.filename.a57446f34ff5d550.696d6167652e66696c652e386632633564646431333066643036382e333233303331333465363862396265363936623065366235623765363861613532653661373036372e6a7067.jpg, HTTP/1.1, 200, 0.243000
127.0.0.1, 2015-01-04 21:35:12, GET, /fudanbq/default/download/poster.filename.95e8e6b4f535f5c5.696d6167652e66696c652e613364643764316265623166336462362e3339323333363330333165356166396465356165613465373835613732383332323932653661373036372e6a7067.jpg, HTTP/1.1, 200, 0.313000
127.0.0.1, 2015-01-04 21:35:12, GET, /fudanbq/static/images/loading.gif, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:35:12, GET, /fudanbq/static/images/close.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-01-04 21:35:12, GET, /fudanbq/static/css/custom/scale.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2015-01-04 21:35:12, GET, /fudanbq/default/download/poster.filename.84a81ba51f2b0f4b.696d6167652e66696c652e626434666561396138666662326465352e33353330323333333330333132653661373036372e6a7067.jpg, HTTP/1.1, 200, 0.371000
127.0.0.1, 2015-01-04 21:35:12, GET, /fudanbq/static/images/prev.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-01-04 21:35:12, GET, /fudanbq/static/images/next.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:35:12, GET, /fudanbq/static/images/poster-bg.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:35:34, GET, /fudanbq/default/poster_show/3, HTTP/1.1, 200, 0.064000
127.0.0.1, 2015-01-04 21:35:34, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-01-04 21:35:34, GET, /fudanbq/static/images/double-line.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-01-04 21:35:49, GET, /fudanbq/default/poster, HTTP/1.1, 200, 0.088000
127.0.0.1, 2015-01-04 21:35:49, GET, /fudanbq/static/css/custom/scale.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2015-01-04 21:35:51, GET, /fudanbq/default/poster_show/4, HTTP/1.1, 200, 0.071000
127.0.0.1, 2015-01-04 21:35:51, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-01-04 21:35:59, GET, /fudanbq/default/poster, HTTP/1.1, 200, 0.074000
127.0.0.1, 2015-01-04 21:36:00, GET, /fudanbq/static/css/custom/scale.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2015-01-04 21:36:02, GET, /fudanbq/default/poster_show/6, HTTP/1.1, 200, 0.064000
127.0.0.1, 2015-01-04 21:36:03, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-01-04 21:36:08, GET, /fudanbq/default/poster, HTTP/1.1, 200, 0.105000
127.0.0.1, 2015-01-04 21:36:08, GET, /fudanbq/static/css/custom/scale.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2015-01-04 21:36:10, GET, /fudanbq/default/services, HTTP/1.1, 200, 0.088000
127.0.0.1, 2015-01-04 21:39:57, GET, /fudanbq/default/poster, HTTP/1.1, 200, 0.072000
127.0.0.1, 2015-01-04 21:39:57, GET, /fudanbq/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-01-04 21:39:58, GET, /fudanbq/static/css/custom/scale.jpg, HTTP/1.1, 404, 0.001000
